l1,subject,list,context,mat_verb,wh,emb_verb,response
,9982,red,maf,predict,where,display,0
,5704,red,mat,predict,where,store,1
,5704,red,mat,predict,where,sell,1
,6487,green,mat,predict,where,find,1
,6487,green,mat,predict,where,hide,1
,6601,red,mat,predict,where,store,1
,6601,red,mat,predict,where,sell,1
,6985,green,mat,predict,where,find,1
,6985,green,mat,predict,where,hide,1
,7009,blue,mat,predict,where,view,1
,7009,blue,mat,predict,where,bury,1
,7042,red,mat,predict,where,store,1
,7042,red,mat,predict,where,sell,1
,7099,red,mat,predict,where,store,1
,7099,red,mat,predict,where,sell,1
,7351,red,mat,predict,where,store,1
,7351,red,mat,predict,where,sell,1
,7378,red,mat,predict,where,store,1
,7378,red,mat,predict,where,sell,1
,7387,green,mat,predict,where,find,1
,7387,green,mat,predict,where,hide,1
,7408,blue,mat,predict,where,view,1
,7408,blue,mat,predict,where,bury,1
,7543,green,mat,predict,where,find,1
,7543,green,mat,predict,where,hide,1
,7564,red,mat,predict,where,store,1
,7564,red,mat,predict,where,sell,1
,7645,red,mat,predict,where,store,0
,7645,red,mat,predict,where,sell,0
,7648,red,mat,predict,where,store,1
,7648,red,mat,predict,where,sell,1
,7678,blue,mat,predict,where,view,1
,7678,blue,mat,predict,where,bury,1
,7750,green,mat,predict,where,find,1
,7750,green,mat,predict,where,hide,1
,7846,blue,mat,predict,where,view,1
,7846,blue,mat,predict,where,bury,1
,7906,green,mat,predict,where,find,1
,7906,green,mat,predict,where,hide,1
,7948,blue,mat,predict,where,view,1
,7948,blue,mat,predict,where,bury,0
,7966,green,mat,predict,where,find,1
,7966,green,mat,predict,where,hide,1
,7987,blue,mat,predict,where,view,1
,7987,blue,mat,predict,where,bury,1
,7990,blue,mat,predict,where,view,1
,7990,blue,mat,predict,where,bury,1
,8140,blue,mat,predict,where,view,1
,8140,blue,mat,predict,where,bury,1
,8167,blue,mat,predict,where,view,1
,8167,blue,mat,predict,where,bury,1
,8428,green,mat,predict,where,find,1
,8428,green,mat,predict,where,hide,1
,8515,blue,mat,predict,where,view,1
,8515,blue,mat,predict,where,bury,0
,8563,green,mat,predict,where,find,1
,8563,green,mat,predict,where,hide,1
,8587,blue,mat,predict,where,view,1
,8587,blue,mat,predict,where,bury,1
,8593,blue,mat,predict,where,view,1
,8593,blue,mat,predict,where,bury,1
,8602,blue,mat,predict,where,view,1
,8602,blue,mat,predict,where,bury,0
,8605,green,mat,predict,where,find,1
,8605,green,mat,predict,where,hide,1
,8608,blue,mat,predict,where,view,1
,8608,blue,mat,predict,where,bury,1
,8650,green,mat,predict,where,find,1
,8650,green,mat,predict,where,hide,0
,8653,green,mat,predict,where,find,1
,8653,green,mat,predict,where,hide,1
,8719,green,mat,predict,where,find,1
,8719,green,mat,predict,where,hide,1
,8749,green,mat,predict,where,find,1
,8749,green,mat,predict,where,hide,0
,8767,red,mat,predict,where,store,1
,8767,red,mat,predict,where,sell,1
,8779,green,mat,predict,where,find,1
,8779,green,mat,predict,where,hide,1
,8968,red,mat,predict,where,store,1
,8968,red,mat,predict,where,sell,1
,9055,green,mat,predict,where,find,1
,9055,green,mat,predict,where,hide,1
,9157,blue,mat,predict,where,view,1
,9157,blue,mat,predict,where,bury,1
,9313,blue,mat,predict,where,view,0
,9313,blue,mat,predict,where,bury,1
,9325,red,mat,predict,where,store,1
,9325,red,mat,predict,where,sell,1
,9421,blue,mat,predict,where,view,1
,9421,blue,mat,predict,where,bury,1
,9430,green,mat,predict,where,find,1
,9430,green,mat,predict,where,hide,1
,9490,red,mat,predict,where,store,1
,9490,red,mat,predict,where,sell,1
,9493,blue,mat,predict,where,view,1
,9493,blue,mat,predict,where,bury,1
,9502,red,mat,predict,where,store,1
,9502,red,mat,predict,where,sell,1
,9511,blue,mat,predict,where,view,1
,9511,blue,mat,predict,where,bury,0
,9541,blue,mat,predict,where,view,1
,9541,blue,mat,predict,where,bury,1
,9610,blue,mat,predict,where,view,1
,9610,blue,mat,predict,where,bury,1
,9631,blue,mat,predict,where,view,1
,9631,blue,mat,predict,where,bury,0
,9634,blue,mat,predict,where,view,1
,9634,blue,mat,predict,where,bury,0
,9643,green,mat,predict,where,find,1
,9643,green,mat,predict,where,hide,1
,9655,green,mat,predict,where,find,1
,9655,green,mat,predict,where,hide,0
,9661,blue,mat,predict,where,view,1
,9661,blue,mat,predict,where,bury,1
,9676,green,mat,predict,where,find,1
,9676,green,mat,predict,where,hide,1
,9682,blue,mat,predict,where,view,1
,9682,blue,mat,predict,where,bury,1
,9703,green,mat,predict,where,find,1
,9703,green,mat,predict,where,hide,1
,9712,blue,mat,predict,where,view,1
,9712,blue,mat,predict,where,bury,1
,9715,red,mat,predict,where,store,1
,9715,red,mat,predict,where,sell,1
,9814,green,mat,predict,where,find,1
,9814,green,mat,predict,where,hide,0
,9847,blue,mat,predict,where,view,1
,9847,blue,mat,predict,where,bury,1
,9848,red,mat,predict,where,store,1
,9848,red,mat,predict,where,sell,1
,9871,green,mat,predict,where,find,1
,9871,green,mat,predict,where,hide,1
,9982,red,mat,predict,where,store,0
,9982,red,mat,predict,where,sell,0
,5704,red,matf,predict,where,find,1
,5704,red,matf,predict,where,hide,1
,6487,green,matf,predict,where,store,0
,6487,green,matf,predict,where,sell,1
,6601,red,matf,predict,where,find,1
,6601,red,matf,predict,where,hide,1
,6985,green,matf,predict,where,store,1
,6985,green,matf,predict,where,sell,1
,7009,blue,matf,predict,where,locate,1
,7009,blue,matf,predict,where,display,1
,7042,red,matf,predict,where,find,1
,7042,red,matf,predict,where,hide,0
,7099,red,matf,predict,where,find,1
,7099,red,matf,predict,where,hide,0
,7351,red,matf,predict,where,find,1
,7351,red,matf,predict,where,hide,1
,7378,red,matf,predict,where,find,1
,7378,red,matf,predict,where,hide,1
,7387,green,matf,predict,where,store,1
,7387,green,matf,predict,where,sell,1
,7408,blue,matf,predict,where,locate,1
,7408,blue,matf,predict,where,display,0
,7543,green,matf,predict,where,store,1
,7543,green,matf,predict,where,sell,0
,7564,red,matf,predict,where,find,1
,7564,red,matf,predict,where,hide,1
,7645,red,matf,predict,where,find,0
,7645,red,matf,predict,where,hide,0
,7648,red,matf,predict,where,find,0
,7648,red,matf,predict,where,hide,1
,7678,blue,matf,predict,where,locate,1
,7678,blue,matf,predict,where,display,1
,7750,green,matf,predict,where,store,0
,7750,green,matf,predict,where,sell,0
,7846,blue,matf,predict,where,locate,1
,7846,blue,matf,predict,where,display,1
,7906,green,matf,predict,where,store,0
,7906,green,matf,predict,where,sell,1
,7948,blue,matf,predict,where,locate,1
,7948,blue,matf,predict,where,display,1
,7966,green,matf,predict,where,store,1
,7966,green,matf,predict,where,sell,1
,7987,blue,matf,predict,where,locate,1
,7987,blue,matf,predict,where,display,1
,7990,blue,matf,predict,where,locate,0
,7990,blue,matf,predict,where,display,1
,8140,blue,matf,predict,where,locate,0
,8140,blue,matf,predict,where,display,0
,8167,blue,matf,predict,where,locate,0
,8167,blue,matf,predict,where,display,1
,8428,green,matf,predict,where,store,1
,8428,green,matf,predict,where,sell,0
,8515,blue,matf,predict,where,locate,0
,8515,blue,matf,predict,where,display,0
,8563,green,matf,predict,where,store,1
,8563,green,matf,predict,where,sell,1
,8587,blue,matf,predict,where,locate,0
,8587,blue,matf,predict,where,display,0
,8593,blue,matf,predict,where,locate,1
,8593,blue,matf,predict,where,display,1
,8602,blue,matf,predict,where,locate,0
,8602,blue,matf,predict,where,display,1
,8605,green,matf,predict,where,store,1
,8605,green,matf,predict,where,sell,0
,8608,blue,matf,predict,where,locate,1
,8608,blue,matf,predict,where,display,1
,8650,green,matf,predict,where,store,1
,8650,green,matf,predict,where,sell,1
,8653,green,matf,predict,where,store,1
,8653,green,matf,predict,where,sell,1
,8719,green,matf,predict,where,store,0
,8719,green,matf,predict,where,sell,1
,8749,green,matf,predict,where,store,0
,8749,green,matf,predict,where,sell,1
,8767,red,matf,predict,where,find,1
,8767,red,matf,predict,where,hide,1
,8779,green,matf,predict,where,store,0
,8779,green,matf,predict,where,sell,0
,8968,red,matf,predict,where,find,1
,8968,red,matf,predict,where,hide,0
,9055,green,matf,predict,where,store,0
,9055,green,matf,predict,where,sell,0
,9157,blue,matf,predict,where,locate,1
,9157,blue,matf,predict,where,display,1
,9313,blue,matf,predict,where,locate,1
,9313,blue,matf,predict,where,display,1
,9325,red,matf,predict,where,find,0
,9325,red,matf,predict,where,hide,1
,9421,blue,matf,predict,where,locate,0
,9421,blue,matf,predict,where,display,0
,9430,green,matf,predict,where,store,1
,9430,green,matf,predict,where,sell,0
,9490,red,matf,predict,where,find,1
,9490,red,matf,predict,where,hide,0
,9493,blue,matf,predict,where,locate,1
,9493,blue,matf,predict,where,display,1
,9502,red,matf,predict,where,find,1
,9502,red,matf,predict,where,hide,1
,9511,blue,matf,predict,where,locate,0
,9511,blue,matf,predict,where,display,0
,9541,blue,matf,predict,where,locate,1
,9541,blue,matf,predict,where,display,1
,9610,blue,matf,predict,where,locate,0
,9610,blue,matf,predict,where,display,1
,9631,blue,matf,predict,where,locate,0
,9631,blue,matf,predict,where,display,1
,9634,blue,matf,predict,where,locate,1
,9634,blue,matf,predict,where,display,1
,9643,green,matf,predict,where,store,0
,9643,green,matf,predict,where,sell,0
,9655,green,matf,predict,where,store,1
,9655,green,matf,predict,where,sell,0
,9661,blue,matf,predict,where,locate,1
,9661,blue,matf,predict,where,display,1
,9676,green,matf,predict,where,store,1
,9676,green,matf,predict,where,sell,1
,9682,blue,matf,predict,where,locate,0
,9682,blue,matf,predict,where,display,0
,9703,green,matf,predict,where,store,0
,9703,green,matf,predict,where,sell,1
,9712,blue,matf,predict,where,locate,1
,9712,blue,matf,predict,where,display,1
,9715,red,matf,predict,where,find,1
,9715,red,matf,predict,where,hide,0
,9814,green,matf,predict,where,store,1
,9814,green,matf,predict,where,sell,1
,9847,blue,matf,predict,where,locate,0
,9847,blue,matf,predict,where,display,1
,9848,red,matf,predict,where,find,1
,9848,red,matf,predict,where,hide,1
,9871,green,matf,predict,where,store,0
,9871,green,matf,predict,where,sell,0
,9982,red,matf,predict,where,find,1
,9982,red,matf,predict,where,hide,0
,5704,red,mst,predict,where,view,1
,5704,red,mst,predict,where,bury,1
,6487,green,mst,predict,where,locate,1
,6487,green,mst,predict,where,display,1
