subject,age,trial,order,noun,knowledge,report,response
42,child,books,2,dd,f,tc,1
43,child,books,2,dd,f,tc,1
4,child,broccoli,1,bp,p,ms,1
5,child,broccoli,1,bp,p,ms,1
6,child,broccoli,1,bp,p,ms,0
7,child,broccoli,1,bp,p,ms,1
8,child,broccoli,1,bp,p,ms,1
9,child,broccoli,1,bp,p,ms,1
10,child,broccoli,1,bp,p,ms,1
11,child,broccoli,1,dd,p,ms,1
12,child,broccoli,1,dd,p,ms,1
13,child,broccoli,1,dd,p,ms,1
14,child,broccoli,1,dd,p,ms,1
15,child,broccoli,1,dd,p,ms,1
16,child,broccoli,1,dd,p,ms,1
17,child,broccoli,2,bp,p,ms,1
18,child,broccoli,2,bp,p,ms,1
19,child,broccoli,2,bp,p,ms,0
20,child,broccoli,2,bp,p,ms,0
21,child,broccoli,2,bp,p,ms,1
22,child,broccoli,2,dd,p,ms,1
23,child,broccoli,2,dd,p,ms,1
24,child,broccoli,1,dd,p,ms,1
25,child,broccoli,1,dd,p,ms,1
26,child,broccoli,2,dd,p,ms,1
27,child,broccoli,1,dd,p,ms,1
28,child,broccoli,2,dd,p,ms,1
29,child,broccoli,2,dd,p,ms,0
30,child,broccoli,2,dd,p,ms,0
31,child,broccoli,2,bp,p,ms,1
32,child,broccoli,2,bp,p,ms,1
33,child,broccoli,2,bp,p,ms,0
34,child,broccoli,1,dd,p,ms,1
35,child,broccoli,2,dd,p,ms,1
36,child,broccoli,2,dd,p,ms,0
37,child,broccoli,1,bp,p,ms,1
38,child,broccoli,1,bp,p,ms,1
39,child,broccoli,2,bp,p,ms,1
40,child,broccoli,2,bp,p,ms,1
41,child,broccoli,2,dd,p,ms,1
42,child,broccoli,2,dd,p,ms,0
43,child,broccoli,2,dd,p,ms,0
4,child,cats,1,bp,f,tc,1
5,child,cats,1,bp,f,tc,1
6,child,cats,1,bp,f,tc,1
7,child,cats,1,bp,f,tc,1
8,child,cats,1,bp,f,tc,1
9,child,cats,1,bp,f,tc,1
10,child,cats,1,bp,f,tc,1
11,child,cats,1,dd,f,tc,1
12,child,cats,1,dd,f,tc,1
13,child,cats,1,dd,f,tc,1
14,child,cats,1,dd,f,tc,1
15,child,cats,1,dd,f,tc,1
16,child,cats,1,dd,f,tc,1
17,child,cats,2,bp,f,tc,1
18,child,cats,2,bp,f,tc,1
19,child,cats,2,bp,f,tc,1
20,child,cats,2,bp,f,tc,1
21,child,cats,2,bp,f,tc,1
22,child,cats,2,dd,f,tc,1
23,child,cats,2,dd,f,tc,1
24,child,cats,1,dd,f,tc,1
25,child,cats,1,dd,f,tc,1
26,child,cats,2,dd,f,tc,1
27,child,cats,1,dd,f,tc,1
28,child,cats,2,dd,f,tc,1
29,child,cats,2,dd,f,tc,1
30,child,cats,2,dd,f,tc,1
31,child,cats,2,bp,f,tc,1
32,child,cats,2,bp,f,tc,1
33,child,cats,2,bp,f,tc,0
34,child,cats,1,dd,f,tc,1
35,child,cats,2,dd,f,tc,1
36,child,cats,2,dd,f,tc,1
37,child,cats,1,bp,f,tc,1
38,child,cats,1,bp,f,tc,1
39,child,cats,2,bp,f,tc,1
40,child,cats,2,bp,f,tc,1
41,child,cats,2,dd,f,tc,1
42,child,cats,2,dd,f,tc,1
43,child,cats,2,dd,f,tc,1
4,child,flowers,1,bp,f,tc,1
5,child,flowers,1,bp,f,tc,1
6,child,flowers,1,bp,f,tc,1
7,child,flowers,1,bp,f,tc,1
8,child,flowers,1,bp,f,tc,1
9,child,flowers,1,bp,f,tc,1
10,child,flowers,1,bp,f,tc,1
11,child,flowers,1,dd,f,tc,1
12,child,flowers,1,dd,f,tc,1
13,child,flowers,1,dd,f,tc,1
14,child,flowers,1,dd,f,tc,1
15,child,flowers,1,dd,f,tc,1
16,child,flowers,1,dd,f,tc,1
17,child,flowers,2,bp,f,tc,1
18,child,flowers,2,bp,f,tc,0
19,child,flowers,2,bp,f,tc,1
20,child,flowers,2,bp,f,tc,1
21,child,flowers,2,bp,f,tc,1
